health_statement,label,source_type
Antibiotics are effective against bacterial infections,true,news
Fasting alone can cure chronic diseases,false,forum
Cancer can be cured only through faith healing,false,forum
A balanced diet improves overall immune health,true,forum
Handwashing reduces the spread of infectious diseases,true,blog
Proper hydration helps maintain body temperature,true,news
Handwashing reduces the spread of infectious diseases,true,forum
Insulin regulates blood sugar levels,true,forum
Physical activity helps control body weight,true,forum
Early cancer screening improves survival rates,true,tweet
Vaccines help the immune system recognize and fight infections,true,blog
Drinking enough water supports kidney function,true,tweet
Insulin regulates blood sugar levels,true,forum
Vaccines help the immune system recognize and fight infections,true,comment
You do not need sleep if you meditate daily,false,forum
Vaccines cause autism,false,news
Insulin regulates blood sugar levels,true,blog
Antibiotics can cure viral infections like flu,false,tweet
Physical activity helps control body weight,true,blog
Vaccination reduces the spread of infectious diseases,true,tweet
Regular exercise helps reduce the risk of heart disease,true,comment
Wearing glasses permanently weakens eyesight,false,forum
Handwashing reduces the spread of infectious diseases,true,news
High blood pressure increases the risk of stroke,true,news
You do not need sleep if you meditate daily,false,forum
Mental health therapy can reduce anxiety and depression,true,forum
You do not need sleep if you meditate daily,false,comment
Vaccines help the immune system recognize and fight infections,true,comment
Wearing glasses permanently weakens eyesight,false,forum
Early cancer screening improves survival rates,true,tweet
Smoking increases the risk of lung cancer,true,tweet
Vaccination reduces the spread of infectious diseases,true,forum
Fasting alone can cure chronic diseases,false,news
Drinking bleach can kill viruses inside the body,false,forum
Regular exercise helps reduce the risk of heart disease,true,news
All cancers are caused by mobile phone radiation,false,forum
Homeopathy can replace all modern medicines,false,news
Wearing glasses permanently weakens eyesight,false,blog
Skipping meals is the healthiest way to lose weight,false,forum
Smoking increases the risk of lung cancer,true,tweet
Vaccines cause autism,false,blog
Homeopathy can replace all modern medicines,false,comment
Proper hydration helps maintain body temperature,true,forum
Regular exercise helps reduce the risk of heart disease,true,blog
Early cancer screening improves survival rates,true,blog
Skipping meals is the healthiest way to lose weight,false,blog
Garlic can completely cure COVID-19,false,tweet
Wearing glasses permanently weakens eyesight,false,comment
You do not need sleep if you meditate daily,false,news
Wearing glasses permanently weakens eyesight,false,news
Vaccines cause autism,false,tweet
Antibiotics can cure viral infections like flu,false,forum
High blood pressure increases the risk of stroke,true,blog
Detox drinks can remove all toxins instantly,false,forum
Adequate sleep improves mental and physical health,true,tweet
Homeopathy can replace all modern medicines,false,blog
Drinking enough water supports kidney function,true,news
Vaccines help the immune system recognize and fight infections,true,comment
Early cancer screening improves survival rates,true,news
Garlic can completely cure COVID-19,false,tweet
Mental health therapy can reduce anxiety and depression,true,blog
Garlic can completely cure COVID-19,false,comment
Mental illness is caused by evil spirits,false,comment
Homeopathy can replace all modern medicines,false,forum
Vaccines help the immune system recognize and fight infections,true,news
Garlic can completely cure COVID-19,false,forum
Fasting alone can cure chronic diseases,false,news
Antibiotics are effective against bacterial infections,true,comment
Fasting alone can cure chronic diseases,false,blog
Diabetes can be permanently cured by herbal tea,false,comment
Mental health therapy can reduce anxiety and depression,true,comment
Proper hydration helps maintain body temperature,true,comment
Smoking increases the risk of lung cancer,true,tweet
Mental health therapy can reduce anxiety and depression,true,forum
Handwashing reduces the spread of infectious diseases,true,tweet
High blood pressure increases the risk of stroke,true,tweet
Vaccines help the immune system recognize and fight infections,true,forum
Vaccines cause autism,false,tweet
Garlic can completely cure COVID-19,false,tweet
Homeopathy can replace all modern medicines,false,news
Drinking alcohol improves immunity,false,news
Cancer can be cured only through faith healing,false,tweet
Drinking alcohol improves immunity,false,tweet
Handwashing reduces the spread of infectious diseases,true,forum
Antibiotics can cure viral infections like flu,false,news
Handwashing reduces the spread of infectious diseases,true,tweet
Vaccination reduces the spread of infectious diseases,true,tweet
Handwashing reduces the spread of infectious diseases,true,blog
Fasting alone can cure chronic diseases,false,forum
Antibiotics can cure viral infections like flu,false,forum
